ZNF316,YES
POU2F2,YES
ZNF432,YES
HSF5,YES
ZNF382,YES
ZNF507,YES
MYCL,YES
SNAI1,YES
NKX6-3,YES
SREBF2,YES
ZNF347,YES
ZNF281,YES
BNC2,YES
HOXA10,YES
SOX4,YES
SPI1,YES
ZFP90,YES
ZNF23,YES
SOX11,YES
MIS18BP1,YES
HLX,YES
ZNF85,YES
ZNF799,YES
MEF2C,YES
PRDM16,YES
ZNF408,YES
ZNF200,YES
ZNF883,YES
ZNF526,YES
DBP,YES
ZNF473,YES
ZNF551,YES
IKZF2,YES
E4F1,YES
OTP,YES
ZNF800,YES
FERD3L,YES
ZNF865,YES
ZNF707,YES
ZNF606,YES
SOX8,YES
GCM1,YES
BCL6B,YES
HEYL,YES
SALL4,YES
ZNF18,YES
ZSCAN5B,YES
MTA1,YES
NR6A1,YES
JUN,YES
ZNF141,YES
NFX1,YES
ARX,YES
PEG3,YES
RARB,YES
NCOR2,YES
UBTFL1,YES
ZNF331,YES
ZNF778,YES
NRL,YES
MYOG,YES
NOTO,YES
ZNF205,YES
LEF1,YES
ZNF529,YES
HOXA2,YES
ZNF148,YES
SMARCC1,YES
ZNF322,YES
TAL2,YES
EMX2,YES
KLF2,YES
ZBTB22,YES
ZNF550,YES
ZFP3,YES
ZNF597,YES
PBX4,YES
ZNF652,YES
CSDC2,YES
TPRX1,YES
ZFHX3,YES
ZNF358,YES
FOXD1,YES
STAT2,YES
ZNF431,YES
SREBF1,YES
ZNF69,YES
FOXB2,YES
MIER1,YES
LRRFIP2,YES
GATA6,YES
HIVEP2,YES
ZNF100,YES
SOHLH2,YES
ZKSCAN8,YES
HOXC9,YES
SP9,YES
ZNF684,YES
ZNF484,YES
ZNF570,YES
ZNF251,YES
NR1H3,YES
ZIC3,YES
FEV,YES
NFYB,YES
ZNF677,YES
HOPX,YES
ZNF460,YES
ARID3B,YES
ZNF581,YES
GLMP,YES
ZNF649,YES
NKX1-1,YES
ZNF469,YES
VEZF1,YES
ZNF518A,YES
TFDP1,YES
RELA,YES
CREB3L3,YES
GZF1,YES
ZNF19,YES
SAMD11,YES
RUNX2,YES
HSF2,YES
CARHSP1,YES
TFCP2L1,YES
TSHZ1,YES
ZNF234,YES
ZNF43,YES
HIF3A,YES
FOXE3,YES
POU5F2,YES
NOBOX,YES
FOXR2,YES
ID4,YES
ZNF93,YES
PTF1A,YES
ZNF625,YES
PAX6,YES
ZNF267,YES
PAX7,YES
BHLHE23,YES
GRHL3,YES
ZNF512,YES
ZFP2,YES
ZNF787,YES
GMEB1,YES
ZNF700,YES
SIX5,YES
HOXD8,YES
EBF4,YES
ZNF692,YES
MYT1,YES
CPHXL,YES
ZNF615,YES
NR2F1,YES
IRF7,YES
ZNF117,YES
ZNF579,YES
ZNF556,YES
ZNF777,YES
FOXE1,YES
ZNF680,YES
ZIC4,YES
NFYC,YES
PRDM15,YES
ZNF468,YES
ID2,YES
ZSCAN5A,YES
ISL2,YES
